Date,gold_close,gold_high,gold_low,gold_open,gold_volume,dxy,oil,sp500,vix,bond10y,cpi,ppi,fed_rate,unemployment,gdp,m2,real_rate,gold_return_1d,gold_return_5d,gold_return_20d,gold_log_return,gold_range,gold_range_pct,gold_gap,dxy_return,dxy_5d,gold_dxy_corr_20,vix_change,target_price,target_direction,f_ema20,f_ema50,f_ema200,f_sma50,f_sma200,f_price_vs_ema20,f_price_vs_ema50,f_price_vs_ema200,f_ema20_vs_ema50,f_macd,f_macd_sig,f_macd_hist,f_macd_norm,f_rsi,f_rsi_norm,f_bb_pct_b,f_bb_width,f_stoch_k,f_stoch_d,f_atr,f_atr_norm,f_cci,f_wr,f_adx,f_di_plus,f_di_minus,f_roc5,f_roc10,f_roc20,f_mom10,f_obv,f_obv_norm,f_vol_5d,f_vol_20d,f_body,f_upper_wick,f_lower_wick,f_dxy_chg,f_dxy_chg5,f_dxy_chg20,f_dxy_zscore,f_vix_chg,f_vix_chg5,f_vix_chg20,f_vix_zscore,f_bond10y_chg,f_bond10y_chg5,f_bond10y_chg20,f_bond10y_zscore,f_oil_chg,f_oil_chg5,f_oil_chg20,f_oil_zscore,f_sp500_chg,f_sp500_chg5,f_sp500_chg20,f_sp500_zscore,f_cpi_chg,f_cpi_chg5,f_cpi_chg20,f_cpi_zscore,f_fed_rate_chg,f_fed_rate_chg5,f_fed_rate_chg20,f_fed_rate_zscore,f_unemployment_chg,f_unemployment_chg5,f_unemployment_chg20,f_unemployment_zscore,f_gdp_chg,f_gdp_chg5,f_gdp_chg20,f_gdp_zscore,f_m2_chg,f_m2_chg5,f_m2_chg20,f_m2_zscore,f_gold_dxy_corr,f_close_lag1,f_return_lag1,f_rsi_lag1,f_close_lag2,f_return_lag2,f_rsi_lag2,f_close_lag3,f_return_lag3,f_rsi_lag3,f_close_lag5,f_return_lag5,f_rsi_lag5,f_close_lag10,f_return_lag10,f_rsi_lag10,f_close_lag20,f_return_lag20,f_rsi_lag20,f_day_of_week,f_day_of_month,f_month,f_quarter,f_month_sin,f_month_cos,f_dow_sin,f_dow_cos,target_price_1d,target_price_3d,target_price_7d,target_price_14d,target_price_30d,target_dir_1d,target_dir_3d,target_dir_7d,target_ret_1d,target_ret_7d
2024-06-13,2300.199951171875,2317.699951171875,2296.199951171875,2309.39990234375,298,105.1999969482422,78.62000274658203,5433.740234375,11.9399995803833,4.23799991607666,313.044,255.914,5.33,4.1,29147.044,21068.4,1.99956671,,,,,21.5,0.0093470135016073,-9.199951171875,,,,,2331.39990234375,1,2300.199951171875,2300.199951171875,2300.199951171875,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,21.5,0.009347013501607314,,,,0.0,0.0,,,,,0.0,,,,-0.003999631061285752,0.003608403184208574,0.0017389792561129885,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,0.41935483870967744,0.5,0.5,1.2246467991473532e-16,-1.0,-0.587785252292473,-0.8090169943749475,2331.39990234375,2330.39990234375,2316.60009765625,2388.5,2377.300048828125,1,1,1,0.013382496559474766,0.0070794033467266315
2024-06-14,2331.39990234375,2331.39990234375,2305.800048828125,2307.0,948,105.5500030517578,78.44999694824219,5431.60009765625,12.65999984741211,4.2129998207092285,313.044,255.914,5.33,4.1,29147.044,21068.4,1.99956671,0.0135640169699071,,,0.0134728491676387,25.599853515625,0.0109804643510062,24.39990234375,0.0033270543124428,,,0.0603015320211339,2312.39990234375,0,2303.171375093006,2301.423478668811,2300.510398447217,,,0.012256372910853797,0.013025166360203195,0.013427239414950049,0.0007594849189624254,2.488884993767897,0.4977769987535794,1.9911079950143176,0.0010675495830920418,,,,,,,22.793326822916665,0.009776669716766564,,,,8.014012918963,0.0,,,,,948.0,,,,0.010465773083039441,0.0,0.0005146912679668093,0.0033270543124426233,,,,0.060301532021133974,,,,-0.005899031586243053,,,,-0.0021623733452137417,,,,-0.000393860697500914,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,,2300.199951171875,,,,,,,,,,,,,,,,,,0.6666666666666666,0.45161290322580644,0.5,0.5,1.2246467991473532e-16,-1.0,-0.9510565162951536,0.30901699437494723,2312.39990234375,2353.800048828125,2299.199951171875,2355.199951171875,2405.0,0,1,0,-0.008216571874416045,-0.01400485031998322
2024-06-17,2312.39990234375,2320.199951171875,2309.60009765625,2320.199951171875,110,105.31999969482422,80.33000183105469,5473.22998046875,12.75,4.27899980545044,313.044,255.914,5.33,4.1,29147.044,21068.4,1.99956671,-0.008149610017955,,,-0.0081829996215816,10.599853515625,0.0045839188562849,-7.800048828125,-0.0021790937970964,,,0.0071090168777756,2330.39990234375,1,2304.05028245022,2301.853926656064,2300.6287019685756,,,0.003623887880020847,0.004581513868261186,0.005116514614071443,0.0009541681897021758,2.8948332368190677,0.977188246366677,1.9176449904523907,0.0012518739660406439,95.52519349869678,0.9105038699739356,,,,,22.660857204861113,0.009799713787348388,,,,6.986079363363178,0.0,,,,,838.0,,,,-0.0033731400958022886,0.0,0.0012107787604826645,-0.002179093797096243,,,,0.0071090168777756535,,,,0.015665793389495475,,,,0.02396437165004417,,,,0.007664386564552705,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,,2331.39990234375,0.013564016969907167,,2300.199951171875,,,,,,,,,,,,,,,0.0,0.5483870967741935,0.5,0.5,1.2246467991473532e-16,-1.0,0.0,1.0,2330.39990234375,2316.39990234375,2324.5,2360.10009765625,2426.5,1,1,1,0.00772399620421238,0.005205462532264948
2024-06-18,2330.39990234375,2330.39990234375,2311.800048828125,2311.800048828125,43,105.26000213623048,81.56999969482422,5487.02978515625,12.300000190734863,4.2170000076293945,313.044,255.914,5.33,4.1,29147.044,21068.4,1.99956671,0.007784120723131,,,0.0077539807631003,18.599853515625,0.0079813998863107,18.599853515625,-0.0005696691869312,,,-0.0352941026874616,2353.800048828125,1,2306.559770059128,2302.973376683032,2300.92493281808,,,0.010335796450664252,0.011909180513506661,0.012810052646772064,0.0015572882484909953,4.615791737935524,1.7049089446804464,2.9108827932550776,0.0019806865479582666,95.72056632009318,0.9144113264018636,,,,,22.1193900462963,0.009491671375393636,,,,12.351236735952037,0.0,,,,,881.0,,,,0.007981399886310754,0.0,0.0,-0.0005696691869311321,,,,-0.03529410268746169,,,,-0.014489320084116963,,,,0.015436298213678867,,,,0.0025213273947457537,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,,2312.39990234375,-0.008149610017955,95.52519349869678,2331.39990234375,0.013564016969907167,,2300.199951171875,,,,,,,,,,,,0.16666666666666666,0.5806451612903226,0.5,0.5,1.2246467991473532e-16,-1.0,0.9510565162951535,0.30901699437494745,2353.800048828125,2330.0,2327.699951171875,2372.199951171875,2435.0,1,0,0,0.009941433426354562,-0.0011599223390093005
2024-06-20,2353.800048828125,2354.0,2328.300048828125,2328.89990234375,183,105.58999633789062,82.16999816894531,5473.169921875,13.279999732971191,4.254000186920166,313.044,255.914,5.33,4.1,29147.044,21068.4,1.99956671,0.010041257923518,,,0.0099911794480786,25.699951171875,0.0109184937712403,24.900146484375,0.0031350389033155,,,0.0796747582959003,2316.39990234375,0,2311.058844227604,2304.9665795122514,2301.451053375394,,,0.018494208707526848,0.02118619408625313,0.02274608246651774,0.002643103275120655,7.778197784709846,2.9195667126863265,4.8586310720235195,0.003304527837265676,95.96707958517621,0.9193415917035241,,,,,22.596798196373463,0.009600134984967658,,,,24.40358484207488,0.0,,,,,1064.0,,,,0.010578700810534827,8.494824017636873e-05,0.00025484472052910616,0.003135038903315346,,,,0.07967475829590032,,,,0.008774052460002624,,,,0.007355626779034674,,,,-0.0025259318472709014,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,,2330.39990234375,0.0077841207231310605,95.72056632009318,2312.39990234375,-0.008149610017955,95.52519349869678,2331.39990234375,0.013564016969907167,,,,,,,,,,,0.5,0.6451612903225806,0.5,0.5,1.2246467991473532e-16,-1.0,-0.587785252292473,-0.8090169943749475,2316.39990234375,2316.60009765625,2327.60009765625,2415.0,2425.699951171875,0,0,0,-0.016145807313552973,-0.011256208142565782
2024-06-21,2316.39990234375,2331.199951171875,2316.39990234375,2331.199951171875,76,105.8000030517578,80.7300033569336,5464.6201171875,13.199999809265137,4.256999969482422,313.044,255.914,5.33,4.1,29147.044,21068.4,1.99956671,-0.0158892623453701,0.0070428447594834,,-0.016016849994939,14.800048828125,0.0063892460076302,-14.800048828125,0.0019888883525969,0.0057034802368942,,-0.0060240907616461,2330.0,1,2311.5675164291415,2305.4149451134867,2301.5997981412484,,,0.002090523370078092,0.004764850359605227,0.0064303551879236675,0.0026687479096531583,7.183738440441175,3.772401058237296,3.411337382203879,0.003101251400145811,87.31025421391749,0.7462050842783498,,,,,24.570577968107003,0.010607226301143562,,,,19.450790493092832,6.457667377528564,0.007042844759483469,,,,988.0,inf,0.012781634435629836,,-0.006389246007630291,0.0,0.0,0.001988888352596918,0.005703480236893821,,,-0.006024090761646117,0.10552766106892841,,,0.0007051674730713664,0.0044832595049579815,,,-0.017524581283925866,0.026837961544631028,,,-0.001562130321101196,0.005682988416918944,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,,2353.800048828125,0.010041257923518065,95.96707958517621,2330.39990234375,0.0077841207231310605,95.72056632009318,2312.39990234375,-0.008149610017955,95.52519349869678,2300.199951171875,,,,,,,,,0.6666666666666666,0.6774193548387096,0.5,0.5,1.2246467991473532e-16,-1.0,-0.9510565162951536,0.30901699437494723,2330.0,2299.199951171875,2323.0,2414.0,2401.699951171875,1,0,1,0.005836951783798283,0.002841195719436085
2024-06-24,2330.0,2332.89990234375,2322.699951171875,2323.300048828125,99,105.47000122070312,81.62999725341797,5447.8701171875,13.329999923706056,4.248000144958496,313.044,255.914,5.33,4.1,29147.044,21068.4,1.99956671,0.0058712218224881,-0.0006004556928833,,0.0058540533667421,10.199951171875,0.0043776614471566,6.699951171875,-0.0031191098443849,-0.0007579519539706,,0.0098484936605582,2316.60009765625,0,2313.3229910549376,2306.379064912958,2301.88238721447,,,0.007209113906509554,0.010241566725257127,0.012215051881758183,0.0030107479935185047,7.721036049954819,4.562128056580801,3.158907993374018,0.0033137493776630124,87.74323213032356,0.7548646426064712,,,,,23.494500905692735,0.010083476783559114,,,,18.594176277681782,5.852978293576986,-0.0006004556928833615,,,,1087.0,0.1466244725738397,0.011344073487096611,,0.0028755155244098714,0.0012445932805793991,0.00025755264216738196,-0.003119109844384793,-0.0007579519539705482,,,0.009848493660558288,0.05292259750152417,,,-0.0021141236994229873,0.008307696591208336,,,0.011148195950211992,0.040535378315869286,,,-0.003065171894990004,0.002995437668224188,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,,2316.39990234375,-0.015889262345370136,87.31025421391749,2353.800048828125,0.010041257923518065,95.96707958517621,2330.39990234375,0.0077841207231310605,95.72056632009318,2331.39990234375,0.013564016969907167,,,,,,,,0.0,0.7741935483870968,0.5,0.5,1.2246467991473532e-16,-1.0,0.0,1.0,2316.60009765625,2324.5,2359.800048828125,2422.89990234375,2389.10009765625,0,0,1,-0.005784296718845505,0.012628209259900491
2024-06-25,2316.60009765625,2333.0,2316.60009765625,2324.39990234375,105,105.61000061035156,80.83000183105469,5469.2998046875,12.84000015258789,4.23799991607666,313.044,255.914,5.33,4.1,29147.044,21068.4,1.99956671,-0.0057510310488196,0.0018163792985126,,-0.0057676319065113,16.39990234375,0.0070792979592559,-7.7998046875,0.0013273858730264,0.0027535218037186,,-0.0367591728374093,2299.199951171875,0,2313.6350964455387,2306.77988972642,2302.0288320944874,,,0.0012815336416993625,0.004257106615835162,0.006329749375252198,0.002971764557879667,6.985068622010203,5.046716169666682,1.9383524523435218,0.00301522417661863,84.67756174716627,0.6935512349433253,,,,,22.54855443076704,0.009733468652435894,,,,16.790999782545484,8.892328070704519,0.0018163792985126381,,,,982.0,0.17183770883054894,0.010961158447615643,,-0.0033669189150907905,0.003712379044165149,0.0,0.0013273858730264987,0.0027535218037186837,,,-0.03675917283740948,0.007058835497089522,,,-0.0023541027637921097,-0.009581652544493169,,,-0.009800262762226009,0.006224324518895985,,,0.003933590015736899,-0.0007180724718812703,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,,2330.0,0.005871221822488115,87.74323213032356,2316.39990234375,-0.015889262345370136,87.31025421391749,2353.800048828125,0.010041257923518065,95.96707958517621,2312.39990234375,-0.008149610017955,95.52519349869678,,,,,,,0.16666666666666666,0.8064516129032258,0.5,0.5,1.2246467991473532e-16,-1.0,0.9510565162951535,0.30901699437494745,2299.199951171875,2327.699951171875,2388.5,2462.39990234375,2390.5,0,1,1,-0.0075679135585864366,0.030102533951748
2024-06-26,2299.199951171875,2314.39990234375,2298.0,2307.89990234375,986,106.0500030517578,80.9000015258789,5477.89990234375,12.550000190734863,4.315999984741211,313.044,255.914,5.33,4.1,29147.044,21068.4,1.99956671,-0.0075110704268634,-0.0133882391346207,,-0.0075394205654809,16.39990234375,0.007132873474267,-8.699951171875,0.0041662952264307,0.0075052337022081,,-0.02258566654258,2324.5,1,2312.2603207051898,2306.482637234085,2302.000684025606,,,-0.0056483127857038335,-0.0031574857510929468,-0.0012166516166421141,0.0025049759221397894,4.940808169772936,5.025534569687933,-0.08472639991499697,0.002148924962900536,80.73299898861578,0.6146599797723156,,,,,22.022093527498104,0.009578155008342665,,,,14.90008518618679,19.152397686716817,-0.013388239134620727,,,,-4.0,-1.0045402951191829,0.01051431989035378,,-0.003783903686776236,0.0028270703453551426,0.0005218994421356868,0.0041662952264305275,0.007505233702207903,,,-0.022585666542580096,0.020325202936851694,,,0.018404924542037238,0.02347639955719849,,,0.000866011298261915,-0.00821378167772413,,,0.0015724312002203256,-0.0016639025429019405,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,,2316.60009765625,-0.005751031048819688,84.67756174716627,2330.0,0.005871221822488115,87.74323213032356,2316.39990234375,-0.015889262345370136,87.31025421391749,2330.39990234375,0.0077841207231310605,95.72056632009318,,,,,,,0.3333333333333333,0.8387096774193549,0.5,0.5,1.2246467991473532e-16,-1.0,0.5877852522924732,-0.8090169943749473,2324.5,2327.60009765625,2355.199951171875,2454.800048828125,2422.199951171875,1,1,1,0.01088408209426761,0.02377717440599303
2024-06-27,2324.5,2329.0,2295.0,2296.800048828125,1532,105.91000366210938,81.73999786376953,5482.8701171875,12.239999771118164,4.288000106811523,313.044,255.914,5.33,4.1,29147.044,21068.4,1.99956671,0.0110038488889276,-0.0124479769820348,,0.0109437470428856,34.0,0.0146268014626801,27.699951171875,-0.0013201262198937,0.0030306594878053,,-0.0247012282793078,2327.699951171875,1,2313.4260044475527,2307.189200479807,2302.224557816396,,,0.00478683801909271,0.00750298220735131,0.009675616615232188,0.002703204386726838,5.301111617474362,5.080649979245218,0.22046163822914355,0.002280538445891315,82.042847680546,0.6408569536109201,,,,,23.619147723831688,0.01016095836688823,,,,20.28219792760838,15.476388549484318,-0.012447976982034814,,,,1528.0,0.43609022556390986,0.010809413218559298,,0.011916520185792643,0.0019359001935900194,0.0007743810832974834,-0.0013201262198936359,0.0030306594878053428,,,-0.024701228279307874,-0.07831325171422598,,,-0.006487460154930069,0.007992458485520881,,,0.010383143659421501,-0.005233057256392781,,,0.0009073212238914774,0.0017723175876067643,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,,2299.199951171875,-0.007511070426863498,80.73299898861578,2316.60009765625,-0.005751031048819688,84.67756174716627,2330.0,0.005871221822488115,87.74323213032356,2353.800048828125,0.010041257923518065,95.96707958517621,,,,,,,0.5,0.8709677419354839,0.5,0.5,1.2246467991473532e-16,-1.0,-0.587785252292473,-0.8090169943749475,2327.699951171875,2323.0,2360.10009765625,2451.800048828125,2432.10009765625,1,0,1,0.0013747266567858407,0.01508414735951391
